Run ID,Run Name,Framework,Parameter,Wallclock Time (s),Logged Time (s),Max Step,N Logged Points,Was Estimated
6ohrj8cw,run-mlp-seed0-legacy-hid64-layers2 23/11-09:52:35,PyTorch,64,311.418652292,264.93557381629944,5000,5000,False
345fqogv,run-mlp-seed0-legacy-hid128-layers2 23/11-09:57:53,PyTorch,128,349.104652,299.0434801578522,5000,5000,False
mfnwlzub,run-mlp-seed0-legacy-hid256-layers2 23/11-10:03:49,PyTorch,256,411.936962209,359.2618820667267,5000,5000,False
j3f4tcdj,run-mlp-seed42-legacy-hid64-layers2 23/11-10:32:18,PyTorch,64,331.508054334,282.71648836135864,5000,5000,False
jg9efa3g,run-mlp-seed42-legacy-hid128-layers2 23/11-10:37:56,PyTorch,128,341.411496042,292.78443455696106,5000,5000,False
wfznmuwh,run-mlp-seed42-legacy-hid256-layers2 23/11-10:43:43,PyTorch,256,364.222968083,316.4562838077545,5000,5000,False
vkx0l0zq,run-mlp-seed100-legacy-hid64-layers2 23/11-11:05:11,PyTorch,64,292.951667916,247.33382391929626,5000,5000,False
rp3folcr,run-mlp-seed100-legacy-hid128-layers2 23/11-11:10:10,PyTorch,128,314.030518542,267.8035032749176,5000,5000,False
tq7kpd1i,run-mlp-seed100-legacy-hid256-layers2 23/11-11:15:31,PyTorch,256,356.240501042,308.22972655296326,5000,5000,False
y9z0aihu,run-mlp-seed0-jax-full-hid64-layers2 09/12-22:06:11,Full JAX,64,26.001084125,0.7416796684265137,5000,500,False
2a29x56z,run-mlp-seed0-jax-full-hid128-layers2 09/12-22:06:42,Full JAX,128,39.072975959,0.7893502712249756,5000,500,False
ny3gh27l,run-mlp-seed0-jax-full-hid256-layers2 09/12-22:07:27,Full JAX,256,70.118521292,0.7376904487609863,5000,500,False
v94ksgaf,run-mlp-seed42-jax-full-hid64-layers2 09/12-22:08:43,Full JAX,64,24.859498333,0.7173116207122803,5000,500,False
m11t3vlv,run-mlp-seed42-jax-full-hid128-layers2 09/12-22:09:13,Full JAX,128,38.570862208,0.7454409599304199,5000,500,False
rfkvs2wk,run-mlp-seed42-jax-full-hid256-layers2 09/12-22:09:58,Full JAX,256,70.179811125,0.7349467277526855,5000,500,False
dz81ulug,run-mlp-seed100-jax-full-hid64-layers2 09/12-22:11:14,Full JAX,64,25.07299875,0.7403383255004883,5000,500,False
m6ny1wdq,run-mlp-seed100-jax-full-hid128-layers2 09/12-22:11:44,Full JAX,128,38.096896458,0.7755944728851318,5000,500,False
4xhogs83,run-mlp-seed100-jax-full-hid256-layers2 09/12-22:12:28,Full JAX,256,71.269866292,0.7508676052093506,5000,500,False
